[nltk_data] Downloading package punkt to /home/anurag/nltk_data...
[nltk_data]   Package punkt is already up-to-date!
/home/anurag/anaconda3/envs/med_vqa/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2354: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
178
device cuda:1
Epoch 0/199
----------
| TRAIN SET | Epoch [01/200], Step[0000/0444], Loss: 6.1042, Top 1 Acc: 0.0000, Top 5 Acc: 0.0058, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0130/0444], Loss: 3.6514, Top 1 Acc: 0.1875, Top 5 Acc: 0.5411, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0140/0444], Loss: 4.1258, Top 1 Acc: 0.1094, Top 5 Acc: 0.3692, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0150/0444], Loss: 3.8632, Top 1 Acc: 0.1533, Top 5 Acc: 0.4346, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0160/0444], Loss: 4.1917, Top 1 Acc: 0.0527, Top 5 Acc: 0.2529, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0170/0444], Loss: 3.6744, Top 1 Acc: 0.1163, Top 5 Acc: 0.5051, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0180/0444], Loss: 3.8495, Top 1 Acc: 0.1551, Top 5 Acc: 0.4393, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0190/0444], Loss: 3.8323, Top 1 Acc: 0.1094, Top 5 Acc: 0.4190, Bleu: 0.0244
| TRAIN SET | Epoch [01/200], Step[0200/0444], Loss: 4.0141, Top 1 Acc: 0.0938, Top 5 Acc: 0.4004, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0210/0444], Loss: 3.5570, Top 1 Acc: 0.1817, Top 5 Acc: 0.5509, Bleu: 0.0076
| TRAIN SET | Epoch [01/200], Step[0220/0444], Loss: 3.8698, Top 1 Acc: 0.1493, Top 5 Acc: 0.4804, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0230/0444], Loss: 3.5868, Top 1 Acc: 0.2217, Top 5 Acc: 0.5087, Bleu: 0.0017
| TRAIN SET | Epoch [01/200], Step[0240/0444], Loss: 3.7128, Top 1 Acc: 0.1377, Top 5 Acc: 0.4815, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0250/0444], Loss: 3.9778, Top 1 Acc: 0.0527, Top 5 Acc: 0.4190, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0260/0444], Loss: 4.1137, Top 1 Acc: 0.0469, Top 5 Acc: 0.3935, Bleu: 0.0279
| TRAIN SET | Epoch [01/200], Step[0270/0444], Loss: 3.8040, Top 1 Acc: 0.1730, Top 5 Acc: 0.4317, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0280/0444], Loss: 3.9438, Top 1 Acc: 0.1094, Top 5 Acc: 0.3906, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0290/0444], Loss: 3.5922, Top 1 Acc: 0.2031, Top 5 Acc: 0.5029, Bleu: 0.0743
| TRAIN SET | Epoch [01/200], Step[0300/0444], Loss: 3.5968, Top 1 Acc: 0.1777, Top 5 Acc: 0.5266, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0310/0444], Loss: 3.6597, Top 1 Acc: 0.2071, Top 5 Acc: 0.5225, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0320/0444], Loss: 3.9379, Top 1 Acc: 0.1875, Top 5 Acc: 0.4121, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0330/0444], Loss: 3.9173, Top 1 Acc: 0.1250, Top 5 Acc: 0.4150, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0340/0444], Loss: 3.6806, Top 1 Acc: 0.1875, Top 5 Acc: 0.4190, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0350/0444], Loss: 3.5276, Top 1 Acc: 0.1875, Top 5 Acc: 0.4786, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0360/0444], Loss: 3.9990, Top 1 Acc: 0.1134, Top 5 Acc: 0.4161, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0370/0444], Loss: 3.9529, Top 1 Acc: 0.0596, Top 5 Acc: 0.4259, Bleu: 0.0024
| TRAIN SET | Epoch [01/200], Step[0380/0444], Loss: 3.7783, Top 1 Acc: 0.0996, Top 5 Acc: 0.4288, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0390/0444], Loss: 3.8514, Top 1 Acc: 0.1290, Top 5 Acc: 0.4571, Bleu: 0.0151
| TRAIN SET | Epoch [01/200], Step[0400/0444], Loss: 4.0558, Top 1 Acc: 0.1210, Top 5 Acc: 0.3750, Bleu: 0.0093
| TRAIN SET | Epoch [01/200], Step[0410/0444], Loss: 3.6304, Top 1 Acc: 0.2129, Top 5 Acc: 0.4797, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0420/0444], Loss: 3.5858, Top 1 Acc: 0.1562, Top 5 Acc: 0.4346, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0430/0444], Loss: 3.4403, Top 1 Acc: 0.2118, Top 5 Acc: 0.5116, Bleu: 0.0000
| TRAIN SET | Epoch [01/200], Step[0440/0444], Loss: 3.9371, Top 1 Acc: 0.1036, Top 5 Acc: 0.3565, Bleu: 0.0000
train Loss: 3.9157 Top 1 Acc: 0.1522 Top 5 Acc: 0.4414 Bleu: 0.0054
| VALID SET | Epoch [01/200], Step[0000/0031], Loss: 1.9379, Top 1 Acc: 0.1875, Top 5 Acc: 0.5156, Bleu: 0.0000
| VALID SET | Epoch [01/200], Step[0010/0031], Loss: 1.9563, Top 1 Acc: 0.2500, Top 5 Acc: 0.4531, Bleu: 0.0000
| VALID SET | Epoch [01/200], Step[0020/0031], Loss: 2.0790, Top 1 Acc: 0.1719, Top 5 Acc: 0.4688, Bleu: 0.0000
| VALID SET | Epoch [01/200], Step[0030/0031], Loss: 1.9052, Top 1 Acc: 0.1562, Top 5 Acc: 0.5625, Bleu: 0.0000
valid Loss: 2.0628 Top 1 Acc: 0.1905 Top 5 Acc: 0.4880 Bleu: 0.0000
Epoch 1/199
----------
| TRAIN SET | Epoch [02/200], Step[0000/0444], Loss: 3.6293, Top 1 Acc: 0.2268, Top 5 Acc: 0.4855, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0010/0444], Loss: 3.7434, Top 1 Acc: 0.2199, Top 5 Acc: 0.4004, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0020/0444], Loss: 3.8255, Top 1 Acc: 0.1504, Top 5 Acc: 0.4571, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0030/0444], Loss: 3.8365, Top 1 Acc: 0.1475, Top 5 Acc: 0.4190, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0040/0444], Loss: 3.7114, Top 1 Acc: 0.1406, Top 5 Acc: 0.4531, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0050/0444], Loss: 3.9659, Top 1 Acc: 0.1406, Top 5 Acc: 0.4415, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0060/0444], Loss: 3.8096, Top 1 Acc: 0.1152, Top 5 Acc: 0.4444, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0070/0444], Loss: 4.0871, Top 1 Acc: 0.1592, Top 5 Acc: 0.4114, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0080/0444], Loss: 3.7590, Top 1 Acc: 0.2228, Top 5 Acc: 0.4699, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0090/0444], Loss: 3.8829, Top 1 Acc: 0.1464, Top 5 Acc: 0.3895, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0100/0444], Loss: 3.7604, Top 1 Acc: 0.1904, Top 5 Acc: 0.4931, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0110/0444], Loss: 4.2193, Top 1 Acc: 0.1337, Top 5 Acc: 0.3496, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0120/0444], Loss: 3.7914, Top 1 Acc: 0.1435, Top 5 Acc: 0.4676, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0130/0444], Loss: 3.6430, Top 1 Acc: 0.1123, Top 5 Acc: 0.5000, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0140/0444], Loss: 3.5699, Top 1 Acc: 0.2529, Top 5 Acc: 0.4844, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0150/0444], Loss: 3.8187, Top 1 Acc: 0.1475, Top 5 Acc: 0.3819, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0160/0444], Loss: 3.4939, Top 1 Acc: 0.1464, Top 5 Acc: 0.4688, Bleu: 0.0279
| TRAIN SET | Epoch [02/200], Step[0170/0444], Loss: 3.6703, Top 1 Acc: 0.1719, Top 5 Acc: 0.4833, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0180/0444], Loss: 3.7199, Top 1 Acc: 0.1603, Top 5 Acc: 0.4004, Bleu: 0.0279
| TRAIN SET | Epoch [02/200], Step[0190/0444], Loss: 3.4983, Top 1 Acc: 0.1435, Top 5 Acc: 0.5069, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0200/0444], Loss: 3.4218, Top 1 Acc: 0.1817, Top 5 Acc: 0.5000, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0210/0444], Loss: 3.5202, Top 1 Acc: 0.1464, Top 5 Acc: 0.4531, Bleu: 0.0871
| TRAIN SET | Epoch [02/200], Step[0220/0444], Loss: 3.7801, Top 1 Acc: 0.1152, Top 5 Acc: 0.3906, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0230/0444], Loss: 3.5264, Top 1 Acc: 0.1308, Top 5 Acc: 0.4746, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0240/0444], Loss: 3.4265, Top 1 Acc: 0.1650, Top 5 Acc: 0.5196, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0250/0444], Loss: 3.6460, Top 1 Acc: 0.1777, Top 5 Acc: 0.4786, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0260/0444], Loss: 3.7313, Top 1 Acc: 0.0967, Top 5 Acc: 0.3993, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0270/0444], Loss: 3.7615, Top 1 Acc: 0.1134, Top 5 Acc: 0.4699, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0280/0444], Loss: 3.6760, Top 1 Acc: 0.2315, Top 5 Acc: 0.4647, Bleu: 0.0987
| TRAIN SET | Epoch [02/200], Step[0290/0444], Loss: 4.0397, Top 1 Acc: 0.0984, Top 5 Acc: 0.4190, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0300/0444], Loss: 3.6713, Top 1 Acc: 0.1192, Top 5 Acc: 0.5225, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0310/0444], Loss: 3.8665, Top 1 Acc: 0.2031, Top 5 Acc: 0.4306, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0320/0444], Loss: 3.5968, Top 1 Acc: 0.1893, Top 5 Acc: 0.4931, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0330/0444], Loss: 4.1897, Top 1 Acc: 0.1065, Top 5 Acc: 0.3467, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0340/0444], Loss: 3.8771, Top 1 Acc: 0.1348, Top 5 Acc: 0.4531, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0350/0444], Loss: 3.7005, Top 1 Acc: 0.1308, Top 5 Acc: 0.4560, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0360/0444], Loss: 3.8029, Top 1 Acc: 0.1759, Top 5 Acc: 0.4288, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0370/0444], Loss: 4.1270, Top 1 Acc: 0.1348, Top 5 Acc: 0.3906, Bleu: 0.0778
| TRAIN SET | Epoch [02/200], Step[0380/0444], Loss: 3.9588, Top 1 Acc: 0.0938, Top 5 Acc: 0.3837, Bleu: 0.0557
| TRAIN SET | Epoch [02/200], Step[0390/0444], Loss: 3.5811, Top 1 Acc: 0.2246, Top 5 Acc: 0.4676, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0400/0444], Loss: 3.5600, Top 1 Acc: 0.1748, Top 5 Acc: 0.4462, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0410/0444], Loss: 3.5737, Top 1 Acc: 0.1661, Top 5 Acc: 0.5098, Bleu: 0.0093
| TRAIN SET | Epoch [02/200], Step[0420/0444], Loss: 3.6046, Top 1 Acc: 0.2188, Top 5 Acc: 0.4902, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0430/0444], Loss: 3.6902, Top 1 Acc: 0.2071, Top 5 Acc: 0.4826, Bleu: 0.0000
| TRAIN SET | Epoch [02/200], Step[0440/0444], Loss: 3.6769, Top 1 Acc: 0.1562, Top 5 Acc: 0.5029, Bleu: 0.0000
train Loss: 3.7713 Top 1 Acc: 0.1509 Top 5 Acc: 0.4439 Bleu: 0.0078
| VALID SET | Epoch [02/200], Step[0000/0031], Loss: 2.0532, Top 1 Acc: 0.1094, Top 5 Acc: 0.4688, Bleu: 0.0000
| VALID SET | Epoch [02/200], Step[0010/0031], Loss: 2.1814, Top 1 Acc: 0.0938, Top 5 Acc: 0.3594, Bleu: 0.0000
| VALID SET | Epoch [02/200], Step[0020/0031], Loss: 2.1484, Top 1 Acc: 0.1250, Top 5 Acc: 0.4219, Bleu: 0.0000
| VALID SET | Epoch [02/200], Step[0030/0031], Loss: 1.9263, Top 1 Acc: 0.1875, Top 5 Acc: 0.5312, Bleu: 0.0000
valid Loss: 2.0599 Top 1 Acc: 0.1875 Top 5 Acc: 0.4895 Bleu: 0.0000
Epoch 2/199
----------
| TRAIN SET | Epoch [03/200], Step[0000/0444], Loss: 3.5509, Top 1 Acc: 0.1846, Top 5 Acc: 0.5821, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0010/0444], Loss: 3.7961, Top 1 Acc: 0.1522, Top 5 Acc: 0.4179, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0020/0444], Loss: 3.7089, Top 1 Acc: 0.1152, Top 5 Acc: 0.4502, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0030/0444], Loss: 3.7302, Top 1 Acc: 0.1632, Top 5 Acc: 0.4855, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0040/0444], Loss: 3.7190, Top 1 Acc: 0.1835, Top 5 Acc: 0.4317, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0050/0444], Loss: 3.7754, Top 1 Acc: 0.1435, Top 5 Acc: 0.4600, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0060/0444], Loss: 3.5477, Top 1 Acc: 0.1141, Top 5 Acc: 0.4676, Bleu: 0.0365
| TRAIN SET | Epoch [03/200], Step[0070/0444], Loss: 3.8088, Top 1 Acc: 0.0996, Top 5 Acc: 0.4317, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0080/0444], Loss: 3.8486, Top 1 Acc: 0.1574, Top 5 Acc: 0.4190, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0090/0444], Loss: 3.5232, Top 1 Acc: 0.0810, Top 5 Acc: 0.5312, Bleu: 0.0465
| TRAIN SET | Epoch [03/200], Step[0100/0444], Loss: 3.4043, Top 1 Acc: 0.1875, Top 5 Acc: 0.4658, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0110/0444], Loss: 3.5180, Top 1 Acc: 0.1181, Top 5 Acc: 0.5938, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0120/0444], Loss: 3.6505, Top 1 Acc: 0.2060, Top 5 Acc: 0.4717, Bleu: 0.0372
| TRAIN SET | Epoch [03/200], Step[0130/0444], Loss: 3.8317, Top 1 Acc: 0.1846, Top 5 Acc: 0.3837, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0140/0444], Loss: 3.7428, Top 1 Acc: 0.1348, Top 5 Acc: 0.4375, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0150/0444], Loss: 3.6428, Top 1 Acc: 0.1973, Top 5 Acc: 0.4571, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0160/0444], Loss: 3.4033, Top 1 Acc: 0.2129, Top 5 Acc: 0.5000, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0170/0444], Loss: 3.5020, Top 1 Acc: 0.2199, Top 5 Acc: 0.5029, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0180/0444], Loss: 3.7735, Top 1 Acc: 0.1759, Top 5 Acc: 0.4699, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0190/0444], Loss: 3.5801, Top 1 Acc: 0.1893, Top 5 Acc: 0.5232, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0200/0444], Loss: 3.4754, Top 1 Acc: 0.1562, Top 5 Acc: 0.5949, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0210/0444], Loss: 3.5290, Top 1 Acc: 0.1759, Top 5 Acc: 0.5098, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0220/0444], Loss: 3.5896, Top 1 Acc: 0.1835, Top 5 Acc: 0.5214, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0230/0444], Loss: 3.8026, Top 1 Acc: 0.2071, Top 5 Acc: 0.4190, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0240/0444], Loss: 3.4954, Top 1 Acc: 0.2089, Top 5 Acc: 0.5312, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0250/0444], Loss: 3.6684, Top 1 Acc: 0.1621, Top 5 Acc: 0.3964, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0260/0444], Loss: 3.7325, Top 1 Acc: 0.2217, Top 5 Acc: 0.4346, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0270/0444], Loss: 4.0570, Top 1 Acc: 0.1406, Top 5 Acc: 0.3866, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0280/0444], Loss: 4.2268, Top 1 Acc: 0.1279, Top 5 Acc: 0.4150, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0290/0444], Loss: 3.9089, Top 1 Acc: 0.1719, Top 5 Acc: 0.5069, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0300/0444], Loss: 3.6635, Top 1 Acc: 0.1621, Top 5 Acc: 0.4444, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0310/0444], Loss: 3.5363, Top 1 Acc: 0.0967, Top 5 Acc: 0.4757, Bleu: 0.0354
| TRAIN SET | Epoch [03/200], Step[0320/0444], Loss: 3.8252, Top 1 Acc: 0.1788, Top 5 Acc: 0.4121, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0330/0444], Loss: 3.8586, Top 1 Acc: 0.1319, Top 5 Acc: 0.4259, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0340/0444], Loss: 3.8290, Top 1 Acc: 0.1446, Top 5 Acc: 0.4092, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0350/0444], Loss: 3.8306, Top 1 Acc: 0.1504, Top 5 Acc: 0.4357, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0360/0444], Loss: 3.8010, Top 1 Acc: 0.0996, Top 5 Acc: 0.4491, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0370/0444], Loss: 3.7957, Top 1 Acc: 0.1250, Top 5 Acc: 0.4502, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0380/0444], Loss: 3.8139, Top 1 Acc: 0.1788, Top 5 Acc: 0.4873, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0390/0444], Loss: 3.6914, Top 1 Acc: 0.1650, Top 5 Acc: 0.5000, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0400/0444], Loss: 3.7258, Top 1 Acc: 0.1562, Top 5 Acc: 0.4404, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0410/0444], Loss: 3.8107, Top 1 Acc: 0.1533, Top 5 Acc: 0.4375, Bleu: 0.0836
| TRAIN SET | Epoch [03/200], Step[0420/0444], Loss: 4.0076, Top 1 Acc: 0.1366, Top 5 Acc: 0.4062, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0430/0444], Loss: 3.6743, Top 1 Acc: 0.1788, Top 5 Acc: 0.5098, Bleu: 0.0000
| TRAIN SET | Epoch [03/200], Step[0440/0444], Loss: 3.8596, Top 1 Acc: 0.1562, Top 5 Acc: 0.4033, Bleu: 0.0000
train Loss: 3.7680 Top 1 Acc: 0.1537 Top 5 Acc: 0.4448 Bleu: 0.0037
| VALID SET | Epoch [03/200], Step[0000/0031], Loss: 1.8950, Top 1 Acc: 0.2656, Top 5 Acc: 0.5156, Bleu: 0.0000
| VALID SET | Epoch [03/200], Step[0010/0031], Loss: 2.0503, Top 1 Acc: 0.1250, Top 5 Acc: 0.3906, Bleu: 0.0000
| VALID SET | Epoch [03/200], Step[0020/0031], Loss: 2.0030, Top 1 Acc: 0.1406, Top 5 Acc: 0.3906, Bleu: 0.0000
| VALID SET | Epoch [03/200], Step[0030/0031], Loss: 2.1792, Top 1 Acc: 0.1250, Top 5 Acc: 0.4219, Bleu: 0.0000
valid Loss: 2.0370 Top 1 Acc: 0.1935 Top 5 Acc: 0.4720 Bleu: 0.0000
Epoch 3/199
----------
| TRAIN SET | Epoch [04/200], Step[0000/0444], Loss: 3.6634, Top 1 Acc: 0.2060, Top 5 Acc: 0.4629, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0010/0444], Loss: 3.7964, Top 1 Acc: 0.1377, Top 5 Acc: 0.3964, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0020/0444], Loss: 3.7450, Top 1 Acc: 0.1962, Top 5 Acc: 0.4815, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0030/0444], Loss: 3.8729, Top 1 Acc: 0.0839, Top 5 Acc: 0.3975, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0040/0444], Loss: 3.7892, Top 1 Acc: 0.1406, Top 5 Acc: 0.4306, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0050/0444], Loss: 3.6401, Top 1 Acc: 0.1632, Top 5 Acc: 0.4670, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0060/0444], Loss: 3.6741, Top 1 Acc: 0.1268, Top 5 Acc: 0.4538, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0070/0444], Loss: 4.2535, Top 1 Acc: 0.1406, Top 5 Acc: 0.3623, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0080/0444], Loss: 3.5990, Top 1 Acc: 0.1650, Top 5 Acc: 0.4658, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0090/0444], Loss: 3.5228, Top 1 Acc: 0.2042, Top 5 Acc: 0.4942, Bleu: 0.0430
| TRAIN SET | Epoch [04/200], Step[0100/0444], Loss: 3.7749, Top 1 Acc: 0.2129, Top 5 Acc: 0.4629, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0110/0444], Loss: 3.5883, Top 1 Acc: 0.1719, Top 5 Acc: 0.4571, Bleu: 0.0203
| TRAIN SET | Epoch [04/200], Step[0120/0444], Loss: 3.9229, Top 1 Acc: 0.1377, Top 5 Acc: 0.3576, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0130/0444], Loss: 3.6626, Top 1 Acc: 0.2141, Top 5 Acc: 0.4699, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0140/0444], Loss: 3.7591, Top 1 Acc: 0.1864, Top 5 Acc: 0.4404, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0150/0444], Loss: 3.7097, Top 1 Acc: 0.1493, Top 5 Acc: 0.4873, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0160/0444], Loss: 3.5887, Top 1 Acc: 0.1435, Top 5 Acc: 0.4688, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0170/0444], Loss: 3.9825, Top 1 Acc: 0.1464, Top 5 Acc: 0.4433, Bleu: 0.0000
| TRAIN SET | Epoch [04/200], Step[0180/0444], Loss: 3.8935, Top 1 Acc: 0.0781, Top 5 Acc: 0.4629, Bleu: 0.0000
